texto,respuesta,etiqueta,area_origen
El teclado es de bajo volumen de datos y utiliza Interrupciones. El DMA está reservado para transferencias masivas de datos continuos,como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras
"En una aplicación, ¿por qué se utiliza el DMA para la transferencia de grandes archivos y no el teclado?",como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras_gemma_local
Explique las ventajas del uso de DMA en lugar de interrupciones para tareas de transferencia masiva de datos.,como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras_gemma_local
Describa la diferencia en términos de eficiencia entre utilizar interrupciones y DMA para la entrada de datos a través del teclado y la transferencia de un archivo grande.,como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras_gemma_local
¿Qué característica principal hace que el DMA sea más adecuado para transferencias masivas de datos continuos en comparación con el uso de interrupciones?,como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras_gemma_local
QuickSort,Usa un pivote para dividir el arreglo,0,algoritmia
"Describe y explica cómo funciona el algoritmo de ordenamiento QuickSort, incluyendo sus ventajas y desventajas.",Usa un pivote para dividir el arreglo,0,algoritmia_gemma_local
Un desarrollador te pide que implementes un algoritmo para ordenar una lista de números grandes rápidamente. ¿Qué algoritmo recomendarías y por qué? Explica su funcionamiento con un ejemplo.,Usa un pivote para dividir el arreglo,0,algoritmia_gemma_local
Ejemplo de 2-Tier,App bancaria: cliente usa app de escritorio y consulta directamente la bdd a traves del server.,2,Sistema-base-datos
Un dashboard financiero complejo tarda 2 minutos en cargar porque une (JOIN) 10 tablas masivas calculando promedios. Los datos no necesitan estar al segundo. ¿Cómo lo aceleras desde la base de datos?,"Creando una Vista Materializada que calcule y agrupe los datos por la noche, permitiendo que el dashboard consulte directamente el resultado pre-calculado en milisegundos.",2,base-datos
Animal a = new Perro();,Verdadero,2,programacion-objetos
¿Es Agregación o Composición?,Agregacion,2,programacion-objetos
¿Qué diferencia hay entre replicación Activa y Pasiva?,"Activa: Todos los nodos procesan lógicamente cada solicitud (más rápido, gasta más CPU). Pasiva: Un líder procesa y luego envía solo el cambio de estado a los esclavos (ahorra cálculo)",3,computo-distribuido
"Describe las diferencias clave entre la replicación activa y pasiva en sistemas de bases de datos, incluyendo sus ventajas e inconvenientes.","Activa: Todos los nodos procesan lógicamente cada solicitud (más rápido, gasta más CPU). Pasiva: Un líder procesa y luego envía solo el cambio de estado a los esclavos (ahorra cálculo)",3,computo-distribuido_gemma_local
Un LEFT JOIN puede devolver valores nulos.,Verdadero.,2,base-datos
"¿Qué es la ""Inmutabilidad""?","Principio de diseño donde el estado de un objeto o estructura de datos no puede ser modificado después de su creación. En su lugar, se crean copias con los nuevos valores.",2,lenguajes-programacion
¿Qué es el Espacio de Estados?,El conjunto de todas las configuraciones posibles que puede alcanzar un problema.,3,computo-inteligente
Describe el concepto de Espacio de Estados y su importancia en la resolución de problemas dentro de un sistema computacional.,El conjunto de todas las configuraciones posibles que puede alcanzar un problema.,3,computo-inteligente_gemma_local
¿Qué es?,Composicion,2,programacion-objetos
Que son los controles tecnicos,Reduce riesgo mediante mecanismos automatizados,2,ciberseguridad
"¿Qué es el ""Codo de Jambú"" (Elbow Method)?",Técnica para determinar el número óptimo de grupos ($k$) en K-means.,3,computo-inteligente
¿Qué es el Soporte en reglas de asociación?,La frecuencia con la que un conjunto de elementos aparece en el dataset.,3,computo-inteligente
Describe el concepto de Soporte en el contexto del descubrimiento de reglas de asociación.,La frecuencia con la que un conjunto de elementos aparece en el dataset.,3,computo-inteligente_gemma_local
¿Para qué sirve la Función de Activación?,"Para introducir no linealidad en el modelo, permitiendo aprender patrones complejos.",3,computo-inteligente
"En una red neuronal, ¿cuál es el papel de la función de activación y cómo afecta a la salida del modelo?","Para introducir no linealidad en el modelo, permitiendo aprender patrones complejos.",3,computo-inteligente_gemma_local
Tienes miles de libros de texto distribuidos en nodos y quieres contar la frecuencia de cada palabra. ¿Qué salida lógica exacta debe generar la función MAP para cada palabra leída?,"Emite pares clave-valor de la forma: (""Palabra"", 1). La función Reduce posteriormente sumará los valores agrupados por clave",3,computo-distribuido
Tienes una biblioteca digital con miles de documentos en varios formatos y quieres saber qué palabras son más comunes. Diseña una función MAP que procese cada documento y genere un resultado para cada palabra leída.,"Emite pares clave-valor de la forma: (""Palabra"", 1). La función Reduce posteriormente sumará los valores agrupados por clave",3,computo-distribuido_gemma_local
Cuales son las amenazas naturales,Fuego,2,ciberseguridad
¿Cómo funciona Breadth-First Search (BFS)?,Explora todos los nodos de un nivel antes de bajar al siguiente.,3,computo-inteligente
El equipo de marketing quiere crear campañas dirigidas agrupando a los usuarios según su navegación,"pero no tienen perfiles definidos de antemano. ¿Qué aplicas?,Clustering (ej. Algoritmo K-Means o DBSCAN)",3,computo-distribuido
El departamento de marketing busca segmentar usuarios en campañas personalizadas según sus patrones de navegación web.,"pero no tienen perfiles definidos de antemano. ¿Qué aplicas?,Clustering (ej. Algoritmo K-Means o DBSCAN)",3,computo-distribuido_gemma_local
