texto,respuesta,etiqueta,area_origen
"Imagina que estás programando un dispositivo electrónico, como un microondas. Explique cómo las interrupciones (interrupt) podrían ser utilizadas para responder a una tecla presionada o al tiempo transcurrido.","Una señal enviada a la CPU por un dispositivo (ej. teclado, disco) indicando que requiere atención inmediata, pausando el proceso actual.",1,arquitectura-computadoras_gemma_local
"¿Qué es la ""Currificación"" (Currying)?","Técnica funcional que transforma una función que toma múltiples argumentos en una secuencia encadenada de funciones, cada una tomando un solo argumento lógico.",2,lenguajes-programacion
Que es un atributo de clase?,Variable compartida por todas las instancias de una clase,2,programacion-objetos
"¿Hace unos años, qué protocolo comenzó a aparecer en puntos de acceso inalámbricos como una nueva forma de agregar o conectar nuevos dispositivos?
A) WPA2
B) WPA
C) WPS
D) WEP",Respuesta: C - La respuesta correcta es WPS (Wi-Fi Protected Setup).  Es un protocolo diseñado para facilitar la conexión de dispositivos a una red inalámbrica sin necesidad de ingresar complejas configuraciones manuales.,2,MMLU_computer_security
"Explica por qué no todos los modelos de aprendizaje automático se pueden convertir a ONNX, utilizando un ejemplo concreto.",pero la mayoria de modelos comunes si.,3,inteligencia-computacional_gemma_local
Entidades (tablas):,Almacenan información y representan objetos del mundo real. Ej.:cliente o producto.,2,Sistema-base-datos
Una llamada al sistema (System Call) consume más ciclos de reloj que la ejecución de una función normal,Verdadero,1,arquitectura-computadoras
¿Cuál es el objetivo principal de la normalización en las bases de datos relacionales?,Eliminar la redundancia de datos y minimizar las anomalías de actualización,2,Sistema-base-datos
Tienes una lista de FiguraGeometrica que contiene Círculo y Triángulo. Al recorrerla y llamar a dibujar(),"cada uno hace algo distinto. ¿Cómo se llama esto?,Polimorfismo de inclusion",2,programacion-objetos
Agregar 15 índices a una tabla acelerará todas las operaciones del sistema,Falso.,2,base-datos
¿Diseñe un algoritmo para encontrar el elemento más grande en una lista de números. Analice su complejidad temporal y espacial.,"¿qué es la ""Complejidad Espacial"",La cantidad lógica de memoria adicional (RAM) que necesita un algoritmo para ejecutarse, en función del tamaño de su entrada.",0,algoritmia-2_gemma_local
Describa cómo funciona el protocolo Two-Phase Commit (2PC) para garantizar la consistencia de las transacciones distribuidas.,"Algoritmo que coordina transacciones lógicas distribuidas. Fase 1: El coordinador pregunta a los nodos si están listos. Fase 2: Si todos dicen sí, ordena el ""Commit""; si uno falla, ordena un ""Rollback"" global.",3,computo-distribuido_gemma_local
Describa los desafíos de implementar una base de datos en un entorno distribuido.,"que significa la transpariencia de localizacion?,Que el usuario puede acceder a un recurso sin necesidad de conocer su ubicacion fisica en la red",3,computo-inteligente_gemma_local
