texto,respuesta,etiqueta,area_origen
El teclado es de bajo volumen de datos y utiliza Interrupciones. El DMA está reservado para transferencias masivas de datos continuos,como una lectura de un disco duro sólido o una tarjeta de red.,1,arquitectura-computadoras
QuickSort,Usa un pivote para dividir el arreglo,0,algoritmia
Ejemplo de 2-Tier,App bancaria: cliente usa app de escritorio y consulta directamente la bdd a traves del server.,2,Sistema-base-datos
Un dashboard financiero complejo tarda 2 minutos en cargar porque une (JOIN) 10 tablas masivas calculando promedios. Los datos no necesitan estar al segundo. ¿Cómo lo aceleras desde la base de datos?,"Creando una Vista Materializada que calcule y agrupe los datos por la noche, permitiendo que el dashboard consulte directamente el resultado pre-calculado en milisegundos.",2,base-datos
Animal a = new Perro();,Verdadero,2,programacion-objetos
¿Es Agregación o Composición?,Agregacion,2,programacion-objetos
¿Qué diferencia hay entre replicación Activa y Pasiva?,"Activa: Todos los nodos procesan lógicamente cada solicitud (más rápido, gasta más CPU). Pasiva: Un líder procesa y luego envía solo el cambio de estado a los esclavos (ahorra cálculo)",3,computo-distribuido
Un LEFT JOIN puede devolver valores nulos.,Verdadero.,2,base-datos
"¿Qué es la ""Inmutabilidad""?","Principio de diseño donde el estado de un objeto o estructura de datos no puede ser modificado después de su creación. En su lugar, se crean copias con los nuevos valores.",2,lenguajes-programacion
¿Qué es el Espacio de Estados?,El conjunto de todas las configuraciones posibles que puede alcanzar un problema.,3,computo-inteligente
¿Qué es?,Composicion,2,programacion-objetos
Que son los controles tecnicos,Reduce riesgo mediante mecanismos automatizados,2,ciberseguridad
"¿Qué es el ""Codo de Jambú"" (Elbow Method)?",Técnica para determinar el número óptimo de grupos ($k$) en K-means.,3,computo-inteligente
¿Qué es el Soporte en reglas de asociación?,La frecuencia con la que un conjunto de elementos aparece en el dataset.,3,computo-inteligente
¿Para qué sirve la Función de Activación?,"Para introducir no linealidad en el modelo, permitiendo aprender patrones complejos.",3,computo-inteligente
Tienes miles de libros de texto distribuidos en nodos y quieres contar la frecuencia de cada palabra. ¿Qué salida lógica exacta debe generar la función MAP para cada palabra leída?,"Emite pares clave-valor de la forma: (""Palabra"", 1). La función Reduce posteriormente sumará los valores agrupados por clave",3,computo-distribuido
Cuales son las amenazas naturales,Fuego,2,ciberseguridad
¿Cómo funciona Breadth-First Search (BFS)?,Explora todos los nodos de un nivel antes de bajar al siguiente.,3,computo-inteligente
El equipo de marketing quiere crear campañas dirigidas agrupando a los usuarios según su navegación,"pero no tienen perfiles definidos de antemano. ¿Qué aplicas?,Clustering (ej. Algoritmo K-Means o DBSCAN)",3,computo-distribuido
Que es un servidor de BDD?,"Gestiona bases de datos y responde a consultas.(MySQL,ORACLE)",2,Sistema-base-datos
¿Qué es el Backpropagation?,Algoritmo utilizado para entrenar redes neuronales calculando el gradiente del error y distribuyéndolo hacia atrás para ajustar los pesos.,3,computo-inteligente
¿Qué es la Memoria Caché y por qué existe?,"Es una memoria volátil de alta velocidad ubicada entre la CPU y la RAM. Existe para mitigar la diferencia de velocidad entre el procesador y la memoria principal, almacenando datos de acceso frecuente.",1,arquitectura-computadoras
¿Qué caracteriza a un lenguaje de Tipado Dinámico?,Los tipos de las variables se verifican durante el tiempo de ejecución. Una misma variable puede contener un número y luego una cadena en momentos distintos.,2,lenguajes-programacion
Que es un servidor web?,"Almacena, procesa y entrega paginas web a los clientes (https)",2,Sistema-base-datos
Principio Abierto/Cerrado,"Las clases deben estar abiertas para su extensión, pero cerradas para su modificación",2,programacion-objetos
Búsqueda Binaria (Eficiencia Máxima),Concepto: Solo funciona en arreglos ordenados. Divide el problema a la mitad en cada paso.,0,algoritmia
Que es joblib?,"Creacion de pipelines para tareas de larga duracion, especialmente enfocada en reporducibilidad, rendimiento y paralelizacion",3,inteligencia-computacional
Los hilos dentro de un mismo proceso no pueden comunicarse entre sí sin intervención del Kernel,Falso,1,arquitectura-computadoras
Cuarta Forma Normal (4NF):,Se enfoca eneliminar dependencias multivalor (tabla puede tener múltiples valores independientes de otro atributo),2,Sistema-base-datos
Solo retorna la intersección exacta; si no hay coincidencia,la fila se descarta.,2,base-datos
"En inglés la letra mas frecuente es la ""e""","y le siguen ""t, a, o, i, n , s""",2,ciberseguridad
Diseñador logico,"define entidades,atributos y restricciones de datos",2,Sistema-base-datos
Que es defensa en capas - defense in depth,Diferentes tipos de controles,2,ciberseguridad
Proposito de un cliente,Solicita recursos o servicios,2,Sistema-base-datos
¿Qué es el Teorema CAP?,"En un sistema distribuido solo puedes garantizar 2 de 3: Consistencia, Disponibilidad o Tolerancia a Particiones.",3,computo-inteligente
Singleton,Patrón que asegura que una clase tenga una única instancia y proporciona un punto de acceso global,2,programacion-objetos
Anomalía de inserción,,2,Sistema-base-datos
Que es un servidor de aplicaciones?,"Ejecuta paginas empresariales y gestiona logistica.(JBOSS,WebSphere,Apache)",2,Sistema-base-datos
¿Bajo qué principio lógico opera una Cola (Queue)?,"Principio FIFO (First In, First Out). El primer elemento en entrar es el primero en salir.",0,algoritmia-2
"La arquitectura recomendada es ""Database per Service""",dándole a cada microservicio su propia BD para evitar acoplamiento y cuellos de botella.,2,base-datos
Nivel de aislamiento: Read Uncommitted.,"Permite ""lecturas sucias"" (leer datos no confirmados por otras transacciones). Es el nivel más rápido pero menos seguro.",2,base-datos
Enumera los 5 estados principales del ciclo de vida de un proceso,"Nuevo (New), Listo (Ready), En ejecución (Running), Bloqueado/En espera (Blocked/Waiting), y Terminado (Terminated).",1,arquitectura-computadoras
Herencia Múltiple:,"Una clase hija hereda de dos o más clases padre (C++ lo permite, Java/C# no).",2,programacion-objetos
Modelos comunes son regresion logistica,"rf, svm.",3,inteligencia-computacional
Disponibilidad CIA,Acceso a los datos/sistemas en todo momento y con eficiencia,2,ciberseguridad
Significa que el sistema confirmará la escritura y,"eventualmente (en milisegundos o segundos), los demás nodos se sincronizarán.",2,base-datos
¿Qué es un sistema Tolerante a Faltas Bizantinas (Byzantine Fault Tolerance)?,"Arquitectura avanzada que puede resistir no solo nodos que se apagan, sino nodos que actúan maliciosamente o envían información lógicamente contradictoria a diferentes partes de la red (muy usado en Blockchain).",3,computo-distribuido
El polimorfismo permite tratar a objetos de diferentes clases de manera uniforme a través de una interfaz común,Verdadero,2,programacion-objetos
Que formatos son comunmente utilizados por APIs web para enviar y recibir informacion?,XML,3,inteligencia-computacional
Dos procesos modifican la BD al mismo tiempo. El proceso A bloquea la fila 1 y pide la 2. El proceso B bloquea la 2 y pide la 1. Ambos se congelan indefinidamente. ¿Cómo se llama este fenómeno?,"Deadlock (Interbloqueo). El motor resolverá matando uno de los procesos como ""víctima"".",2,base-datos
Recall,Mide proporcion de verdaderos positivos sobre el totla de casos positivos reales,3,inteligencia-computacional
¿Qué tipo de relación es?,Composicion,2,programacion-objetos
Un cliente envía datos bancarios por HTTPS. ¿En qué capa del modelo OSI ocurre el descifrado criptográfico (TLS/SSL) para que la aplicación pueda leer los datos en texto plano?,"Tradicionalmente en la Capa de Presentación (Capa 6), responsable del formateo, cifrado y compresión de los datos antes de pasarlos a la Capa de Aplicación.",1,arquitectura-computadoras
Modelo OSI: ¿Cuál es la diferencia de diseño entre TCP y UDP en la Capa de Transporte (Capa 4)?,"TCP establece conexión previa (Handshake) y garantiza que los paquetes lleguen completos y en orden. UDP envía paquetes sin conexión ni garantías, siendo más rápido pero propenso a pérdidas de datos.",1,arquitectura-computadoras
¿Qué es un problema NP-completo en búsqueda?,Problemas donde encontrar la solución óptima es computacionalmente costoso y crece exponencialmente.,3,computo-inteligente
Recursos del cliente,recursos limitados y realiza tareas específicas,2,Sistema-base-datos
"¿Qué es el ""Bias"" (Sesgo) en una neurona?",Un valor adicional que permite desplazar la función de activación para ajustar mejor los datos.,3,computo-inteligente
¿Cuál es la función principal del Kernel (Núcleo)?,"Es el componente central del Sistema Operativo que gestiona los recursos del hardware y sirve de puente entre el software (aplicaciones) y el hardware físico (CPU, memoria, dispositivos).",1,arquitectura-computadoras
Ordena lógicamente estas complejidades de la más rápida a la más lenta:,"O(N), O(N^2), O(1), O(log N), O(N log N). A: O(1) < O(log N) < O(N) < O(N log N) < O(N^2).",0,algoritmia-2
Utilizar el conjunto de validacion o pruebas durante la fase de preprocesamiento puede ocasionar overfitting,Verdadero,3,inteligencia-computacional
¿Qué es un Outlier (Valor Atípico)?,Un dato que se aleja significativamente del resto de las observaciones.,3,computo-inteligente
Anomalia de actualizacion,Son problemas que ocurren cuando los cambios en los datos generan resultados inconsistentes o indeseables,2,Sistema-base-datos
"¿Qué es la ""Evaluación Estricta"" (Eager Evaluation)?","Estrategia donde las expresiones se evalúan tan pronto como se vinculan a una variable, garantizando predecibilidad temporal a costa de posible procesamiento innecesario",2,lenguajes-programacion
Tienes una arquitectura de microservicios con 5 dominios distintos (Inventario,"Envíos, Cobros, etc.). ¿Es buena práctica que todos lean y escriban en una misma base de datos monolítica?,No",2,base-datos
Que es Acceso Concurrente?,Permiten que múltiples usuarios accedan y manipulen los datos simultáneamente sin conflictos.,2,Sistema-base-datos
Que representan las URL en REST,Recursos,3,inteligencia-computacional
¿Qué es la Forma Normal de Boyce-Codd (BCNF)?,"Una versión estricta de 3NF que dictamina que para cada dependencia funcional X -> Y, X debe ser una superclave.",2,base-datos
¿Qué es la Arquitectura CISC (Complex Instruction Set Computer)?,"Filosofía de diseño (como x86) que utiliza instrucciones complejas, donde una sola instrucción puede ejecutar múltiples operaciones de bajo nivel (ej. leer memoria, sumar y guardar).",1,arquitectura-computadoras
Algoritmo de planificación: ¿Qué es FCFS (First-Come,"First-Served)?,Algoritmo no preventivo donde el primer proceso que llega a la cola de ""Listo"" es el primero en ser ejecutado hasta que termine o se bloquee. Puede causar el ""Efecto Convoy"".",1,arquitectura-computadoras
Los métodos de una interfaz son public por defecto,Verdadero,2,programacion-objetos
Binning,"Discretar una variable continua, convertir valores continuos en el rango 0, 100] a las categorías [0,26), [26, 51), [51, 76) y [76, 100]",3,inteligencia-computacional
"Qué es la ""Replicación""?",Mantener copias lógicas y físicas de los mismos datos en múltiples nodos distintos para garantizar alta disponibilidad y tolerancia a fallos.,3,computo-distribuido
Que establece el Teorema CAP para sistemas distribuidos?,Es imposible garantizar simultaneamente mas de 2 de las siguientes 3 propiedaades.,3,computo-inteligente
En recorridos de árboles,"¿en qué orden se visitan en Post-Order?,Subárbol Izquierdo -> Subárbol Derecho -> Nodo Raíz.",0,algoritmia-2
"¿Qué significa que un proceso esté en estado ""Bloqueado"" (Blocked)?","Significa que el proceso no puede continuar ejecutándose porque está esperando un evento externo (ej. la respuesta de un disco duro, un input del usuario, o un mensaje de red).",1,arquitectura-computadoras
El DMA (Direct Memory Access) es utilizado por el teclado para enviar cada pulsación de tecla a la CPU,Falso,1,arquitectura-computadoras
¿Qué es el Modelo Relacional?,Paradigma basado en la teoría de conjuntos donde los datos se estructuran en tablas (relaciones) conectadas por llaves comunes.,2,base-datos
¿Cuál es la diferencia lógica entre un Array y una Lista Enlazada (Linked List)?,El Array almacena elementos en bloques de memoria físicos y contiguos (acceso O(1) por índice). La Lista Enlazada almacena nodos dispersos conectados por punteros.,0,algoritmia-2
Que define a un agente inteligente?,Una entidad capaz de percibir su entorno mediante sensores y actuar sobre el mediante actuadores para alcanzar objetivos especificos.,3,computo-inteligente
¿Qué es un Árbol Binario de Búsqueda (BST)?,"Un árbol donde cada nodo tiene máximo dos hijos. Lógicamente, el subárbol izquierdo contiene valores menores al nodo padre, y el derecho valores mayores.",0,algoritmia-2
¿Qué es una Función de Orden Superior (Higher-Order Function)?,"Una función que trata a otras funciones como ""ciudadanos de primera clase""; es decir, puede recibir funciones como parámetros o devolver una función como resultado.",2,lenguajes-programacion
Qué es la Memoria Virtual?,"Abstracción arquitectónica que engaña a los procesos haciéndoles creer que tienen una memoria contigua y enorme, mapeando direcciones lógicas a RAM física o a un espacio temporal en el disco duro.",1,arquitectura-computadoras
Cuál de las siguientes opciones describe correctamente una clave primaria en una tabla relacional?,Un campo o conjunto de campos que identifica de manera única cada registro en una tabla.,2,Sistema-base-datos
¿Qué establece el Teorema CAP?,"En un sistema de datos distribuido es lógicamente imposible garantizar simultáneamente Consistencia, Disponibilidad (Availability) y Tolerancia a Particiones. Solo puedes elegir dos.",3,computo-distribuido
¿Qué es el motor OLTP?,"On-Line Transaction Processing. Optimizado para operaciones rápidas del día a día (alta concurrencia de INSERT/UPDATE, lecturas de pocas filas).",2,base-datos
Modelo OSI: ¿Cuál es la función central de la Capa de Red (Capa 3)? A: El Enrutamiento (Routing),Determina la ruta lógica más eficiente para mover paquetes de datos a través de múltiples subredes desde el origen hasta el destino utilizando direcciones IP.,1,arquitectura-computadoras
Un sistema con alta cohesión y bajo acoplamiento es más fácil de mantener,Verdadero,2,programacion-objetos
Estabilidad en Ordenamiento,Es estable si mantiene el orden relativo de elementos con llaves iguales,0,algoritmia
La tabla 'Alumnos' tiene las columnas ID,"Nombre, Carrera y Facultad. Sabiendo que la Facultad depende enteramente de la Carrera, ¿qué problema de diseño tienes?,Una violación a la 3NF. Debes separar Carrera y Facultad en otra tabla para evitar redundancia y anomalías de actualización.",2,base-datos
NIST determina probabilidad de que ocurra el riesgo,Capacidad del atacante,2,ciberseguridad
Desventajas de 3-Tier,Mas complejas en implementacion y requiere mas recursos y gestion de capas.,2,Sistema-base-datos
Grafo,Conjunto de vertices(nodos) y aristas (conexiones),0,algoritmia
(DA) Politicas,"Privacidad de datos, Calidad de datos y Retencion de datos",2,Sistema-base-datos
Lista Doblemente Ligada,Cada nodo apunta al anterior y al siguiente.,0,algoritmia
Mejorar el valor de recall impacta valor de accuracy,Verdadero,3,inteligencia-computacional
NoSQL significa que el sistema carece de un lenguaje de consultas estructuradas,Falso,2,base-datos
¿Qué es un algoritmo Heurístico?,"Un algoritmo diseñado para encontrar una solución lógica aproximada o ""suficientemente buena"" cuando el problema es demasiado complejo para encontrar la solución perfecta en un tiempo razonable.",0,algoritmia-2
¿Qué es el MBR (Master Boot Record)?,Es el primer sector del disco duro que contiene la tabla de particiones y el pequeño código inicial (Bootloader) necesario para cargar el Sistema Operativo en RAM.,1,arquitectura-computadoras
"Es una metáfora eléctrica. Si el circuito está ""Abierto""",la conexión lógica está rota y todas las peticiones fallan inmediatamente (Fail-Fast) para proteger al servicio caído.,3,computo-distribuido
"¿Qué es un entorno ""Determinista""?",Aquel donde el siguiente estado está completamente determinado por el estado actual y la acción del agente.,3,computo-inteligente
Herencia,"Permite que una clase derive de otra, adquiriendo sus atributos y metodos",2,programacion-objetos
El protocolo DHCP puede asignar direcciones MAC dinámicamente a los dispositivos de una red,Falso,1,arquitectura-computadoras
Algoritmo de planificación: ¿Qué es Round Robin?,"Algoritmo preventivo donde a cada proceso se le asigna un intervalo de tiempo fijo (""Quantum"") en la CPU. Si no termina en ese tiempo, es interrumpido y mandado al final de la fila.",1,arquitectura-computadoras
¿En qué consiste el Preprocesamiento/Limpieza en KDD?,"Eliminar ruido, manejar datos faltantes e integrar fuentes diversas.",3,computo-inteligente
Herencia Simple,Una clase hija solo tiene una clase padre.,2,programacion-objetos
"¿Qué significa ""Transparencia de Fallos""?","El sistema debe ocultar lógicamente a los usuarios la ocurrencia de fallos en nodos individuales, recuperándose automáticamente sin interrumpir el servicio global.",3,computo-distribuido
"¿Qué es el ""Middleware""?","Capa lógica de software que se sitúa entre el sistema operativo y las aplicaciones distribuidas, proporcionando servicios comunes (como comunicación o seguridad) para ocultar la heterogeneidad de la red.",3,computo-distribuido
Administrador de Datos(DA),"Hace estandares,politicas. Planificacion y gestion de datos. Diseño logico del bdd",2,Sistema-base-datos
¿Por qué es importante la revisión del modelo de datos con los usuarios en cada fase del diseño?,Para asegurar que el modelo de datos cumple con los requisitos empresariales y permite ajustes antes de avanzar a la siguiente fase,2,Sistema-base-datos
¿Qué es un RPC (Remote Procedure Call)?,"Mecanismo que permite a un programa ejecutar lógicamente una subrutina en otra computadora de la red como si fuera una llamada a una función local, ocultando los detalles de red.",3,computo-distribuido
